Title,Rating V1,Rating V2,Soundness V1,Soundness V2,Presentation V1,Presentation V2,Contribution V1,Contribution V2
weight_initialization_grokking,3.0,3.5,2.25,2.0,1.5,2.0,1.5,2.0
rl_lr_adaptation,2.5,3.25,2.0,2.0,1.75,1.5,1.75,1.75
dual_expert_denoiser,4.0,4.25,2.25,2.5,2.25,2.5,1.75,2.25
grid_based_noise_adaptation,3.0,2.5,1.75,2.25,1.5,2.25,1.5,1.75
layerwise_lr_grokking,3.0,4.0,2.0,2.5,2.5,2.5,1.75,2.0
mdl_grokking_correlation,3.25,3.25,2.0,2.0,2.0,1.75,2.0,2.0
data_augmentation_grokking,3.5,3.5,2.0,2.5,2.25,2.75,2.0,2.25
multi_style_adapter,3.0,3.5,2.0,2.0,2.0,2.0,1.75,2.0
gan_diffusion,2.5,2.5,1.25,1.5,1.5,1.75,1.25,1.5
adaptive_dual_scale_denoising,3.0,4.75,2.0,2.75,1.5,2.75,1.5,2.0
